time,sea_level_m,temperature_C,dissolved_o2,salinity_psu,current_u,current_v,current_speed_m_s,ph,turbidity_kd
2021-06-10,0.39630052,19.374306,281.69223,18.27429,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-06-11,0.3967535,19.374306,281.69223,18.271421,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-06-12,0.39713195,19.374306,281.69223,18.265223,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-06-13,0.3974647,19.374306,281.69223,18.259203,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-06-14,0.39859647,19.374306,281.69223,18.268764,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-06-15,0.40267527,19.374306,281.69223,18.261395,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-06-16,0.40595022,19.374306,281.69223,18.256603,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-06-17,0.4125763,19.374306,281.69223,18.249437,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-06-18,0.41867024,19.374306,281.69223,18.237219,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-06-19,0.4203884,19.374306,281.69223,18.22982,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-06-20,0.41946316,19.374306,281.69223,18.230877,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-06-21,0.42055523,19.374306,281.69223,18.222914,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-06-22,0.42260593,19.374306,281.69223,18.208523,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-06-23,0.42424047,19.374306,281.69223,18.198256,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-06-24,0.42647702,19.374306,281.69223,18.188627,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-06-25,0.43024194,19.374306,281.69223,18.180119,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-06-26,0.43157068,19.374306,281.69223,18.178974,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-06-27,0.43196118,19.374306,281.69223,18.188684,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-06-28,0.43181834,19.374306,281.69223,18.185717,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-06-29,0.4320789,19.374306,281.69223,18.180784,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-06-30,0.43262374,19.374306,281.69223,18.173798,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-07-01,0.43241793,19.374306,281.69223,18.177977,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-07-02,0.43152967,19.374306,281.69223,18.169592,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-07-03,0.43092933,19.374306,281.69223,18.174126,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-07-04,0.43774796,19.374306,281.69223,18.155636,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-07-05,0.4488,19.374306,281.69223,18.147764,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-07-06,0.45337176,19.374306,281.69223,18.146984,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-07-07,0.45388782,19.374306,281.69223,18.15505,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-07-08,0.45420974,19.374306,281.69223,18.165695,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-07-09,0.45255184,19.374306,281.69223,18.180988,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-07-10,0.45110613,19.374306,281.69223,18.190493,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-07-11,0.44986483,19.374306,281.69223,18.196692,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-07-12,0.44857088,19.374306,281.69223,18.193441,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-07-13,0.4474564,19.374306,281.69223,18.194618,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-07-14,0.44577426,19.374306,281.69223,18.202135,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-07-15,0.44479603,19.374306,281.69223,18.20451,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-07-16,0.4430934,19.374306,281.69223,18.214384,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-07-17,0.44157302,19.374306,281.69223,18.219826,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-07-18,0.4401364,19.374306,281.69223,18.220947,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-07-19,0.43874466,19.374306,281.69223,18.221191,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-07-20,0.4376676,19.374306,281.69223,18.22771,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-07-21,0.4353193,19.374306,281.69223,18.235085,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-07-22,0.4320615,19.374306,281.69223,18.241924,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-07-23,0.4288474,19.374306,281.69223,18.255726,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-07-24,0.42470583,19.374306,281.69223,18.257603,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-07-25,0.42082474,19.374306,281.69223,18.263666,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-07-26,0.41871965,19.374306,281.69223,18.261822,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-07-27,0.42006466,19.374306,281.69223,18.256704,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-07-28,0.41879544,19.374306,281.69223,18.250488,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-07-29,0.41754815,19.374306,281.69223,18.246084,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-07-30,0.41574603,19.374306,281.69223,18.250614,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-07-31,0.41487622,19.374306,281.69223,18.250435,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-08-01,0.41351348,19.374306,281.69223,18.241564,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-08-02,0.41219127,19.374306,281.69223,18.24768,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-08-03,0.41213343,19.374306,281.69223,18.23385,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-08-04,0.41042954,19.374306,281.69223,18.23753,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-08-05,0.40978286,19.374306,281.69223,18.229425,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-08-06,0.40835488,19.374306,281.69223,18.231941,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-08-07,0.40885317,19.374306,281.69223,18.232206,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-08-08,0.4075766,19.374306,281.69223,18.245407,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-08-09,0.40892193,19.374306,281.69223,18.24003,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-08-10,0.41329235,19.374306,281.69223,18.237848,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
2021-08-11,0.41762915,19.374306,281.69223,18.232035,-0.006414681,0.021250032,0.022197118,8.316492,0.081652164
