time,salinity_psu
2022-12-18,18.570549
2022-12-19,18.575268
2022-12-20,18.565672
2022-12-21,18.563124
2022-12-22,18.560913
2022-12-23,18.55483
2022-12-24,18.551256
2022-12-25,18.550493
2022-12-26,18.55985
2022-12-27,18.557892
2022-12-28,18.563423
2022-12-29,18.560173
2022-12-30,18.555593
2022-12-31,18.549849
2023-01-01,18.541695
2023-01-02,18.5353
2023-01-03,18.536015
2023-01-04,18.539091
2023-01-05,18.553627
2023-01-06,18.558943
2023-01-07,18.558153
2023-01-08,18.55747
2023-01-09,18.56359
2023-01-10,18.569626
2023-01-11,18.564962
2023-01-12,18.566158
2023-01-13,18.563036
2023-01-14,18.560469
2023-01-15,18.556126
2023-01-16,18.553595
2023-01-17,18.55814
2023-01-18,18.561087
2023-01-19,18.56744
2023-01-20,18.564497
2023-01-21,18.564278
2023-01-22,18.562332
2023-01-23,18.56112
2023-01-24,18.558006
2023-01-25,18.556784
2023-01-26,18.556915
2023-01-27,18.56163
2023-01-28,18.561735
2023-01-29,18.562227
2023-01-30,18.56021
2023-01-31,18.560978
2023-02-01,18.557373
2023-02-02,18.55611
2023-02-03,18.557144
2023-02-04,18.561064
2023-02-05,18.56959
2023-02-06,18.583963
2023-02-07,18.596212
2023-02-08,18.602722
2023-02-09,18.605844
2023-02-10,18.602486
2023-02-11,18.595491
2023-02-12,18.601238
2023-02-13,18.608091
2023-02-14,18.605734
2023-02-15,18.610077
2023-02-16,18.611713
2023-02-17,18.60769
2023-02-18,18.60116
2023-02-19,18.593771
2023-02-20,18.594576
2023-02-21,18.600794
2023-02-22,18.600668
2023-02-23,18.596252
2023-02-24,18.593685
2023-02-25,18.590878
2023-02-26,18.594551
2023-02-27,18.587748
2023-02-28,18.573332
2023-03-01,18.564363
2023-03-02,18.553482
2023-03-03,18.54501
2023-03-04,18.5348
2023-03-05,18.52797
2023-03-06,18.514877
2023-03-07,18.516056
2023-03-08,18.501663
2023-03-09,18.492758
2023-03-10,18.483768
2023-03-11,18.488476
2023-03-12,18.495796
2023-03-13,18.497934
2023-03-14,18.503887
2023-03-15,18.493547
2023-03-16,18.478752
2023-03-17,18.479998
2023-03-18,18.473097
2023-03-19,18.472105
2023-03-20,18.471575
2023-03-21,18.46519
2023-03-22,18.451609
2023-03-23,18.438093
2023-03-24,18.428558
2023-03-25,18.428764
2023-03-26,18.427673
2023-03-27,18.431835
2023-03-28,18.464561
2023-03-29,18.471209
2023-03-30,18.467495
2023-03-31,18.461168
2023-04-01,18.454987
2023-04-02,18.450615
2023-04-03,18.44752
2023-04-04,18.456053
2023-04-05,18.454533
2023-04-06,18.447067
2023-04-07,18.432436
2023-04-08,18.42242
2023-04-09,18.417116
2023-04-10,18.417675
2023-04-11,18.42612
2023-04-12,18.414621
2023-04-13,18.405556
2023-04-14,18.395445
2023-04-15,18.390984
2023-04-16,18.394741
2023-04-17,18.410776
2023-04-18,18.407915
2023-04-19,18.405483
2023-04-20,18.391275
2023-04-21,18.384907
2023-04-22,18.381483
2023-04-23,18.366539
2023-04-24,18.35143
2023-04-25,18.350021
2023-04-26,18.344929
2023-04-27,18.363033
2023-04-28,18.371803
2023-04-29,18.368608
2023-04-30,18.36065
2023-05-01,18.36208
2023-05-02,18.360727
2023-05-03,18.35469
2023-05-04,18.352814
2023-05-05,18.346853
2023-05-06,18.350983
2023-05-07,18.359697
2023-05-08,18.361534
2023-05-09,18.369087
2023-05-10,18.36589
2023-05-11,18.366762
2023-05-12,18.36838
2023-05-13,18.352177
2023-05-14,18.341364
2023-05-15,18.325136
2023-05-16,18.322208
2023-05-17,18.334879
2023-05-18,18.350962
2023-05-19,18.359154
2023-05-20,18.362568
2023-05-21,18.361795
2023-05-22,18.357246
2023-05-23,18.346859
2023-05-24,18.331964
2023-05-25,18.309702
2023-05-26,18.311735
2023-05-27,18.314793
2023-05-28,18.319506
2023-05-29,18.315147
2023-05-30,18.307554
2023-05-31,18.298817
2023-06-01,
2023-06-02,
2023-06-03,
2023-06-04,
2023-06-05,
2023-06-06,
2023-06-07,
2023-06-08,
2023-06-09,
2023-06-10,
2023-06-11,
2023-06-12,
2023-06-13,
2023-06-14,
2023-06-15,
2023-06-16,
2023-06-17,
2023-06-18,
2023-06-19,
2023-06-20,
2023-06-21,
2023-06-22,
2023-06-23,
2023-06-24,
2023-06-25,
2023-06-26,
2023-06-27,
2023-06-28,
2023-06-29,18.261896
2023-06-30,
2023-07-01,18.260403
2023-07-02,
2023-07-03,18.241358
2023-07-04,
2023-07-05,18.230793
2023-07-06,
2023-07-07,18.253403
2023-07-08,
2023-07-09,18.28289
2023-07-10,
2023-07-11,18.26841
2023-07-12,
2023-07-13,18.25599
2023-07-14,
2023-07-15,18.242626
2023-07-16,
2023-07-17,18.236385
2023-07-18,
2023-07-19,18.236935
2023-07-20,
2023-07-21,18.226942
2023-07-22,
2023-07-23,18.235104
2023-07-24,
2023-07-25,18.248415
2023-07-26,
2023-07-27,18.267128
2023-07-28,
2023-07-29,18.271229
2023-07-30,
2023-07-31,18.24383
2023-08-01,
2023-08-02,18.228857
2023-08-03,
2023-08-04,18.212555
2023-08-05,
2023-08-06,18.220789
2023-08-07,
2023-08-08,18.224813
2023-08-09,
2023-08-10,18.246025
2023-08-11,
2023-08-12,18.257744
2023-08-13,
2023-08-14,18.276876
2023-08-15,
2023-08-16,18.317902
2023-08-17,
2023-08-18,18.333553
2023-08-19,
2023-08-20,18.328379
2023-08-21,
2023-08-22,18.322866
2023-08-23,
2023-08-24,18.291077
2023-08-25,
2023-08-26,18.270689
2023-08-27,
2023-08-28,18.28096
2023-08-29,
2023-08-30,18.295122
2023-08-31,
2023-09-01,18.298883
2023-09-02,
2023-09-03,18.331171
2023-09-04,
2023-09-05,18.365316
2023-09-06,
2023-09-07,18.388302
2023-09-08,
2023-09-09,18.402027
2023-09-10,
2023-09-11,18.426426
2023-09-12,
2023-09-13,18.425474
2023-09-14,
2023-09-15,18.424911
2023-09-16,
2023-09-17,18.451439
2023-09-18,
2023-09-19,18.461681
2023-09-20,
2023-09-21,18.441614
2023-09-22,
2023-09-23,18.43473
2023-09-24,
2023-09-25,18.447243
2023-09-26,
2023-09-27,18.46775
2023-09-28,
2023-09-29,18.467175
2023-09-30,
2023-10-01,18.472464
2023-10-02,
2023-10-03,18.480051
2023-10-04,
2023-10-05,18.4858
2023-10-06,
2023-10-07,18.476255
2023-10-08,
