time,ph
2024-09-22,8.242832
2024-09-23,8.24333
2024-09-24,8.243825
2024-09-25,8.244373
2024-09-26,8.244966
2024-09-27,8.245572
2024-09-28,8.246163
2024-09-29,8.2467575
2024-09-30,8.246612
2024-10-01,8.246704
2024-10-02,8.246895
2024-10-03,8.247393
2024-10-04,8.247887
2024-10-05,8.248309
2024-10-06,8.248758
2024-10-07,8.249032
2024-10-08,8.249246
2024-10-09,8.249467
2024-10-10,8.249694
2024-10-11,8.249933
2024-10-12,8.250246
2024-10-13,8.250571
2024-10-14,8.250984
2024-10-15,8.251256
2024-10-16,8.251298
2024-10-17,8.2513075
2024-10-18,8.251411
2024-10-19,8.251685
2024-10-20,8.251947
2024-10-21,8.252254
2024-10-22,8.252634
2024-10-23,8.252997
2024-10-24,8.253134
2024-10-25,8.2532015
2024-10-26,8.253166
2024-10-27,8.253109
2024-10-28,8.2532425
2024-10-29,8.253314
2024-10-30,8.253298
2024-10-31,8.25332
2024-11-01,8.253491
2024-11-02,8.253691
2024-11-03,8.25393
2024-11-04,8.254236
2024-11-05,8.254416
2024-11-06,8.25453
2024-11-07,8.254711
2024-11-08,8.255086
2024-11-09,8.255509
2024-11-10,8.256126
2024-11-11,8.25675
2024-11-12,8.257179
2024-11-13,8.257554
2024-11-14,8.257871
2024-11-15,8.258083
2024-11-16,8.258247
2024-11-17,8.258368
2024-11-18,8.258466
2024-11-19,8.258728
2024-11-20,8.258991
2024-11-21,8.259265
2024-11-22,8.259567
2024-11-23,8.259952
2024-11-24,8.260273
2024-11-25,8.260375
2024-11-26,8.260326
2024-11-27,8.260089
2024-11-28,8.259798
2024-11-29,8.2597685
2024-11-30,8.259944
2024-12-01,8.260149
2024-12-02,8.260362
2024-12-03,8.260669
2024-12-04,8.260778
2024-12-05,8.260769
2024-12-06,8.26084
2024-12-07,8.261104
2024-12-08,8.261334
2024-12-09,8.261379
2024-12-10,8.261365
2024-12-11,8.261416
2024-12-12,8.26136
2024-12-13,8.261203
2024-12-14,8.261121
2024-12-15,8.261012
2024-12-16,8.260891
2024-12-17,8.260815
2024-12-18,8.260578
2024-12-19,8.26019
2024-12-20,8.259876
2024-12-21,8.259557
2024-12-22,8.259321
2024-12-23,8.259318
2024-12-24,8.259401
2024-12-25,8.259199
2024-12-26,8.25871
2024-12-27,8.258661
2024-12-28,8.258794
2024-12-29,8.258852
2024-12-30,8.25889
2024-12-31,8.258797
