time,nitrate,phosphate
2023-02-02,2.0605562,0.31436738
2023-02-03,2.1249793,0.32031754
2023-02-04,2.126877,0.3215298
2023-02-05,1.6233011,0.3191053
2023-02-06,1.531936,0.3480837
2023-02-07,1.5137703,0.3919346
2023-02-08,1.5217812,0.41427475
2023-02-09,1.5870777,0.42772827
2023-02-10,1.8250014,0.42999703
2023-02-11,2.0434852,0.4303269
2023-02-12,2.0813518,0.43116918
2023-02-13,1.9703126,0.43797565
2023-02-14,2.119013,0.44226715
2023-02-15,1.9526088,0.44770494
2023-02-16,2.1639938,0.4523974
2023-02-17,2.400603,0.45412904
2023-02-18,2.527276,0.45596814
2023-02-19,2.5909781,0.4578979
2023-02-20,2.3906598,0.45319906
2023-02-21,2.2832541,0.45652175
2023-02-22,2.4886844,0.45812926
2023-02-23,2.4620326,0.45385858
2023-02-24,2.4008846,0.45018968
2023-02-25,2.457599,0.4480251
2023-02-26,2.4671047,0.4450872
2023-02-27,2.5692875,0.44115457
2023-02-28,2.5750926,0.43721926
2023-03-01,2.6418786,0.43330404
2023-03-02,2.6584542,0.42720208
2023-03-03,2.863658,0.42392716
2023-03-04,3.0146668,0.420674
2023-03-05,2.968866,0.41508624
2023-03-06,2.9735966,0.41455823
2023-03-07,3.082955,0.41410086
2023-03-08,3.2228074,0.41110185
2023-03-09,3.2724497,0.40698907
2023-03-10,3.219643,0.40389693
2023-03-11,2.8966675,0.39882693
2023-03-12,2.660674,0.39682007
2023-03-13,2.6783597,0.3987345
2023-03-14,2.7990384,0.39802045
2023-03-15,2.952587,0.39336148
2023-03-16,3.0673892,0.3876033
2023-03-17,2.6713703,0.38218638
2023-03-18,2.640188,0.3796332
2023-03-19,2.5938542,0.3783806
2023-03-20,2.7447088,0.38221365
2023-03-21,2.9972765,0.38374355
2023-03-22,3.1886818,0.379725
2023-03-23,3.3395019,0.37413228
2023-03-24,3.4043844,0.36984858
2023-03-25,3.0997095,0.36303782
2023-03-26,3.0055335,0.3582696
2023-03-27,2.8813574,0.35591584
2023-03-28,2.3667338,0.35895613
2023-03-29,2.078717,0.3624696
2023-03-30,2.1020262,0.36449435
2023-03-31,2.1982431,0.36212674
2023-04-01,2.309921,0.35935366
2023-04-02,2.384489,0.3579565
2023-04-03,2.5089781,0.35384926
2023-04-04,2.2615578,0.35005718
2023-04-05,2.1240795,0.34821138
2023-04-06,2.1084764,0.34765622
2023-04-07,2.393998,0.34363154
2023-04-08,2.547375,0.34071025
2023-04-09,2.6052806,0.33455458
2023-04-10,2.4100397,0.33037692
2023-04-11,2.0692093,0.32951856
2023-04-12,2.133077,0.32693267
2023-04-13,2.3034656,0.32447195
2023-04-14,2.481597,0.32131425
2023-04-15,2.5636058,0.31723183
2023-04-16,2.5310743,0.3150784
2023-04-17,2.2912555,0.31390053
2023-04-18,2.322325,0.31097096
2023-04-19,2.422864,0.30946258
2023-04-20,2.4031682,0.30453038
2023-04-21,2.2629576,0.30223015
2023-04-22,2.3083122,0.3018273
2023-04-23,2.567788,0.2976183
2023-04-24,2.6976159,0.2926766
2023-04-25,2.617243,0.28803986
2023-04-26,2.720954,0.2843041
2023-04-27,2.2229512,0.2844638
2023-04-28,1.8584466,0.28833127
2023-04-29,1.8106031,0.29086193
2023-04-30,1.8845356,0.29000962
2023-05-01,2.071609,0.28907326
2023-05-02,2.1364632,0.28543308
2023-05-03,2.2039948,0.28190345
2023-05-04,2.1884003,0.27803245
2023-05-05,2.272043,0.27405128
2023-05-06,2.0215268,0.27058393
2023-05-07,1.8653307,0.27325678
2023-05-08,1.8863707,0.27393636
2023-05-09,1.8412118,0.27429348
2023-05-10,1.9079509,0.27046084
2023-05-11,2.0252295,0.26606396
2023-05-12,1.9694892,0.26338804
2023-05-13,2.1252117,0.26467663
2023-05-14,2.3653553,0.2653718
2023-05-15,2.5140083,0.2619907
2023-05-16,2.4618216,0.2579389
2023-05-17,2.321721,0.25538597
2023-05-18,2.0199492,0.25536507
2023-05-19,1.9021714,0.25724128
2023-05-20,1.8147427,0.25917023
2023-05-21,1.8428129,0.25826004
2023-05-22,1.8999914,0.25403
2023-05-23,2.0576434,0.25104582
2023-05-24,2.4381208,0.24651653
2023-05-25,2.7650433,0.23748814
2023-05-26,2.5897958,0.22958902
2023-05-27,2.535221,0.22226226
2023-05-28,2.2491996,0.22100365
2023-05-29,2.0532985,0.22094765
2023-05-30,2.120372,0.21775466
2023-05-31,2.2111514,0.21845187
2023-06-01,2.3151352,0.21932349
2023-06-02,2.4687552,0.21327938
2023-06-03,2.4620082,0.20877494
2023-06-04,1.7285292,0.21526252
2023-06-05,1.7261724,0.2188621
2023-06-06,1.7678263,0.21927874
2023-06-07,1.8322513,0.21834587
2023-06-08,1.8864033,0.21436425
2023-06-09,1.9603188,0.21075639
2023-06-10,2.040637,0.20769502
2023-06-11,1.9341159,0.20576471
2023-06-12,1.66531,0.2043999
2023-06-13,1.583629,0.20357375
2023-06-14,1.6390039,0.20210198
2023-06-15,1.8952719,0.19917555
2023-06-16,2.0705192,0.19407001
2023-06-17,2.0181694,0.18849482
2023-06-18,1.9309056,0.18577017
2023-06-19,1.8067983,0.18543985
2023-06-20,1.7870799,0.18703961
2023-06-21,1.964398,0.18781553
2023-06-22,2.1207433,0.18744306
2023-06-23,2.2378464,0.18698625
2023-06-24,2.2543797,0.18293828
2023-06-25,2.415864,0.17703933
2023-06-26,2.2342863,0.17332049
2023-06-27,2.1498394,0.1745495
2023-06-28,2.1550403,0.16909806
2023-06-29,1.9353733,0.16834514
2023-06-30,1.891076,0.1706549
2023-07-01,1.9856842,0.1691283
2023-07-02,2.0513566,0.16453378
2023-07-03,2.1983616,0.15996656
2023-07-04,2.285872,0.15576144
2023-07-05,2.2381144,0.15471439
2023-07-06,2.170799,0.15236115
2023-07-07,1.9371836,0.15213661
2023-07-08,1.4027526,0.15865202
2023-07-09,1.0320578,0.1735042
2023-07-10,1.1086245,0.18379289
2023-07-11,1.1653132,0.18333307
2023-07-12,1.1765099,0.18075824
2023-07-13,1.249144,0.17726867
2023-07-14,1.358024,0.17160419
2023-07-15,1.3224742,0.16889983
2023-07-16,1.369403,0.16665776
2023-07-17,1.4142026,0.16307516
2023-07-18,1.4458045,0.15898608
2023-07-19,1.4615716,0.1551188
2023-07-20,1.4345686,0.15149312
2023-07-21,1.39094,0.14818758
2023-07-22,1.3906039,0.14499229
2023-07-23,1.3580728,0.14148295
